Cycle Nr.,Time [s],Temp. [°C],A7,A8,A9,A10,A11,A12
241,2572.401,36.9,0.0736,0.1302,0.1331,0.0665,0.0527,0.0606
242,2583.091,36.7,0.0767,0.1291,0.1338,0.0671,0.0525,0.0605
243,2593.808,36.9,0.0743,0.129,0.1352,0.0672,0.0527,0.0607
244,2604.541,36.9,0.0738,0.1295,0.1359,0.0666,0.0526,0.0604
245,2615.265,36.7,0.0724,0.1291,0.1367,0.0668,0.0526,0.0605
246,2625.986,36.9,0.0741,0.1292,0.137,0.0672,0.0527,0.0608
247,2636.69,36.9,0.0734,0.1297,0.1379,0.0695,0.0528,0.0607
248,2647.407,36.8,0.0738,0.1295,0.1388,0.0667,0.0526,0.0605
249,2658.161,36.9,0.073,0.1318,0.1394,0.0665,0.0551,0.0605
250,2668.898,36.9,0.0744,0.1283,0.1403,0.0686,0.0526,0.0606
251,2679.622,36.8,0.0734,0.1293,0.1415,0.0667,0.0527,0.0607
252,2690.362,36.9,0.0737,0.128,0.1416,0.0665,0.0527,0.0605
253,2701.092,36.9,0.0737,0.128,0.1421,0.0666,0.0526,0.0605
254,2711.835,36.8,0.0724,0.1283,0.1427,0.0707,0.0525,0.0604
255,2722.567,36.9,0.0733,0.1286,0.1437,0.0665,0.0526,0.0605
256,2733.285,36.9,0.0743,0.1286,0.1445,0.0669,0.0527,0.0606
257,2744.018,36.8,0.0724,0.1287,0.1447,0.0663,0.0525,0.0604
258,2754.748,36.9,0.0733,0.1276,0.1453,0.0666,0.0525,0.0609
259,2765.48,36.9,0.0728,0.1282,0.1461,0.0666,0.053,0.0605
260,2776.202,36.8,0.0726,0.1289,0.1469,0.0667,0.0526,0.0605
261,2786.91,36.9,0.0722,0.1288,0.1467,0.0669,0.0527,0.0607
262,2797.597,36.9,0.0721,0.1278,0.1474,0.0667,0.0528,0.0607
263,2808.28,36.8,0.0772,0.13,0.1477,0.0665,0.0527,0.0607
264,2818.961,36.9,0.0719,0.1286,0.1479,0.0666,0.0549,0.0608
265,2829.643,36.9,0.073,0.1293,0.1486,0.0706,0.0528,0.0607
266,2840.333,36.8,0.0727,0.1295,0.1497,0.0668,0.0526,0.0606
267,2851.053,36.9,0.0729,0.1297,0.1502,0.0668,0.0527,0.0606
268,2861.779,36.9,0.0716,0.1283,0.1509,0.0679,0.0528,0.0607
269,2872.499,36.8,0.0728,0.129,0.1509,0.0667,0.0528,0.0606
270,2883.204,36.8,0.0713,0.1299,0.1509,0.0666,0.0526,0.0607
271,2893.892,36.8,0.0726,0.1317,0.1517,0.0666,0.0589,0.0607
272,2904.593,36.8,0.0711,0.1317,0.1521,0.0666,0.0527,0.0606
273,2915.284,36.8,0.0707,0.1286,0.152,0.0668,0.0528,0.0609
274,2926.009,36.8,0.0721,0.1297,0.1526,0.0668,0.0527,0.0608
275,2936.707,36.8,0.0719,0.1341,0.1527,0.07,0.0528,0.0608
276,2947.406,36.8,0.0729,0.1288,0.1532,0.0668,0.0526,0.0606
277,2958.107,36.8,0.0712,0.1287,0.1539,0.0668,0.0527,0.0606
278,2968.821,36.8,0.0723,0.13,0.1543,0.0688,0.0527,0.0607
279,2979.507,36.8,0.0719,0.1299,0.1545,0.0667,0.0537,0.0608
280,2990.223,36.8,0.0715,0.1309,0.1544,0.0666,0.0526,0.0607
281,3000.932,36.9,0.0758,0.1306,0.1547,0.0706,0.0526,0.0617
282,3011.621,36.9,0.0739,0.1299,0.1553,0.0676,0.0569,0.0608
